JOB_NUMBER,USER,TIMESTAMP,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
72,zhouyuan,1579251439452,de91eb1833dcc9b9d01c9d60ed04886d7df4fec8,origin/release/v1.0.6,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
73,sagittarius,1579579976522,b2114181282d8ad5a517c37b1ed920a0e570389b,origin/lua,ios,debug,0.0.1,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
74,sagittarius,1579589197528,64b186947cca7ce286f4b25c2f6d2843e052be53,origin/lua,ios,debug,0.0.1,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
75,sagittarius,1579590181235,77448675c29a33591e39c3aba4c794c553fe6265,origin/lua,ios,debug,0.0.1,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
76,sagittarius,1579592576808,c4bebdce389c104ce2f088d516ff46272b3b956f,UNDEFINED,ios,debug,0.0.1,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
77,NO_USER,1579592644947,UNDEFINED,UNDEFINED,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
78,sagittarius,1579592691906,4bf7d4d990ad01a4f808875dac740556a08d5639,origin/lua,ios,debug,0.0.1,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
79,sagittarius,1579594149645,6d827e5f948e93e596d27c49df5b843619cb9e68,origin/lua,ios,debug,0.0.1,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
80,sagittarius,1579594798678,6d827e5f948e93e596d27c49df5b843619cb9e68,origin/lua,ios,debug,0.0.1,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
81,zhouyuan,1580797852576,50707075c1352dfc60d2a61605646515157862a4,origin/feature/nanke,ios,debug,1.0.7,UNDEFINED,build_app,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
82,zhouyuan,1580810267989,3738c3bd4602e6f8e2b21506c480c682765f78d2,origin/lua,ios,debug,1.0.7,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
83,zhouyuan,1580819026935,94b9f0e0ecc69ee330900536cb17923302b991db,origin/lua,ios,debug,1.0.7,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,1,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
